,cache_size,total_hits,total_requests,final_cum_hit_rate,total_moves,total_repeatness,avg_precision_at_k,policy,moves_mean,moves_std,repeats_mean,repeats_std
0,25000,706164,2427699,0.29087790537459546,1000755,874245,0.3766208,ML_topK,13185.878378378378,4554.6903566850215,11814.121621621622,4554.6903566850215
1,25000,162865,2427699,0.06708615853942354,1752614,122386,0.08686133333333335,Random,23346.135135135137,292.22679897005145,1653.8648648648648,292.22679897005145
2,25000,561979,2427699,0.23148627568738958,1550367,324633,0.2997221333333333,Heuristic,20613.067567567567,3815.2631584171,4386.9324324324325,3815.2631584171
3,50000,1063522,2427699,0.43807819667924236,1800963,1949037,0.28360586666666665,ML_topK,23661.662162162163,7427.4263712769625,26338.337837837837,7427.4263712769625
4,50000,326817,2427699,0.1346200661614146,3260552,489448,0.0871512,Random,43385.83783783784,1132.169187548229,6614.1621621621625,1132.169187548229
5,50000,869136,2427699,0.35800813857072067,2522282,1227718,0.2317696,Heuristic,33409.21621621621,9790.206839112754,16590.783783783783,9790.206839112754
6,75000,1336975,2427699,0.5507169546142252,2324264,3300736,0.23768444444444445,ML_topK,30395.45945945946,8362.195535238747,44604.54054054054,8362.195535238747
7,75000,490574,2427699,0.2020736508109119,4523715,1101285,0.08721315555555555,Random,60117.77027027027,2548.6937591652995,14882.22972972973,2548.6937591652995
8,75000,1101223,2427699,0.4536077166073718,2830205,2794795,0.19577297777777777,Heuristic,37232.5,15957.006606580877,37767.5,15957.006606580877
9,100000,1530666,2427699,0.6305007334105258,2755895,4744105,0.20408880000000001,ML_topK,35890.47297297297,9406.628223048723,64109.52702702703,9406.628223048723
10,100000,654886,2427699,0.2697558469975067,5541485,1958515,0.08731813333333334,Random,73533.58108108108,4510.531205258398,26466.41891891892,4510.531205258398
11,100000,1301497,2427699,0.5361031165725241,2760118,4739882,0.17353293333333333,Heuristic,35947.54054054054,18139.765034642336,64052.45945945946,18139.765034642336
12,125000,1685640,2427699,0.6943364889963707,3122250,6252750,0.1798016,ML_topK,40503.37837837838,11176.368335462868,84496.62162162163,11176.368335462868
13,125000,817399,2427699,0.3366970122737621,6312043,3062957,0.08718922666666666,Random,83608.68918918919,7093.69245566073,41391.31081081081,7093.69245566073
14,125000,1490446,2427699,0.6139336054428494,2598874,6776126,0.15898090666666667,Heuristic,33430.72972972973,17585.115213629913,91569.27027027027,17585.115213629913
15,150000,1819174,2427699,0.7493408367347023,3347234,7902766,0.16170435555555557,ML_topK,43205.86486486487,12649.974918296999,106794.13513513513,12649.974918296999
16,150000,981676,2427699,0.404364791516576,6842731,4407269,0.08726008888888888,Random,90442.31081081081,10202.3650896555,59557.68918918919,10202.3650896555
17,150000,1620829,2427699,0.6676400163282186,2489427,8760573,0.14407368888888888,Heuristic,31613.87837837838,16797.889838083913,118386.12162162163,16797.889838083913
18,175000,1925465,2427699,0.7931234473466439,3478659,9646341,0.14670209523809524,ML_topK,44644.04054054054,13849.004819039743,130355.95945945945,13849.004819039743
19,175000,1144061,2427699,0.4712532319698612,7123878,6001122,0.08716655238095239,Random,93903.75675675676,13898.218928772025,81096.24324324324,13898.218928772025
20,175000,1713724,2427699,0.7059046446861823,2402517,10722483,0.13056944761904762,Heuristic,30101.58108108108,16552.1551086229,144898.4189189189,16552.1551086229
21,200000,2020033,2427699,0.8320772056173356,3506880,11493120,0.13466886666666666,ML_topK,44687.56756756757,14719.632181677136,155312.43243243243,14719.632181677136
22,200000,1306894,2427699,0.5383262093035421,7163923,7836077,0.08712626666666666,Random,94107.06756756757,18141.21163080703,105892.93243243243,18141.21163080703
23,200000,1856566,2427699,0.7647430756448802,2275732,12724268,0.1237710666666667,Heuristic,28050.432432432433,15877.885834630624,171949.56756756757,15877.885834630624
24,225000,2098089,2427699,0.8642294617248679,3530188,13344812,0.12433120000000003,ML_topK,44664.7027027027,14338.952321952447,180335.2972972973,14338.952321952447
25,225000,1470183,2427699,0.6055870188190546,6956260,9918740,0.08712195555555556,Random,90962.97297297297,22966.376213561016,134037.02702702704,22966.376213561016
26,225000,1983316,2427699,0.8169530077657897,2169369,14705631,0.11752983703703705,Heuristic,26275.256756756757,15031.166687974226,198724.74324324325,15031.166687974226
27,250000,2165952,2427699,0.8921830918907163,3439622,15297279,0.11551744,ML_topK,43103.0,14919.71449467917,206719.98648648648,14580.209921533342
28,250000,1630866,2427699,0.6717743838919075,6512331,12224570,0.08697951999999999,Random,84626.0945945946,28028.638302156618,165196.8918918919,27588.389618986
29,250000,2072599,2427699,0.8537298075255623,2094606,16642295,0.11053861333333333,Heuristic,24927.108108108107,14304.564393273331,224895.87837837837,14151.69326811702
30,275000,2221717,2427699,0.9151534024605192,3312163,17193568,0.10771961212121212,ML_topK,41042.74324324324,15295.557125599838,232345.51351351352,13315.58564933388
31,275000,1784342,2427699,0.7349930942839289,5888295,14617436,0.08651355151515153,Random,75855.33783783784,31833.775673394888,197532.9189189189,29139.071231123922
32,275000,2140164,2427699,0.881560687712933,2035307,18470424,0.10376552727272728,Heuristic,23787.932432432433,13629.66274854986,249600.32432432432,13595.36801469591
